employee_id,tax_rate,num_exemptions,estimated_withholding_amt
1001,8%,1,28760
1002,8%,3,4673
1003,8%,2,8755
1004,8%,2,20720
1005,8%,2,10783
1006,8%,0,10711
1007,8%,0,5085
1008,8%,3,6752
1009,8%,2,7520
1010,0%,2,0
1011,0%,2,0
1012,0%,0,0
1013,0%,1,0
1014,0%,1,0
1015,9%,2,23310
1016,9%,0,11904
1017,9%,3,12051
1018,9%,1,9046
1019,9%,0,9483
1020,9%,3,8098
1021,9%,2,8427
1022,9%,0,8550
1023,9%,3,8415
1024,9%,2,8471
1025,9%,3,8266
1026,9%,1,8908
1027,5%,0,9250
1028,5%,0,6704
1029,5%,2,4700
1030,5%,0,2825
1031,5%,3,4199
1032,5%,1,4058
1033,5%,2,4700
1034,5%,1,4271
1035,5%,1,4725
1036,0%,3,0
1037,0%,1,0
1038,0%,0,0
1039,0%,3,0
1040,0%,3,0
1041,0%,2,0
1042,0%,1,0
1043,0%,2,0
1044,0%,3,0
1045,0%,2,0
1046,0%,3,0
1047,0%,2,0
1048,0%,1,0
1049,0%,2,0
1050,0%,3,0
1051,0%,0,0
1052,0%,3,0
1053,0%,2,0
1054,0%,0,0
1055,0%,2,0
